id	source	url	observed_signal	surface_plugin_implication
raycast-store	Raycast Store	https://www.raycast.com/store	Raycast organizes extensions around daily tools such as clipboard history, window management, snippets, file search, quicklinks, calculator, calendar, system, emoji, project management, developer tools, time management, AI, transcript, translation, and work-from-home.	Surface should prioritize high-frequency blocks that turn app switching into direct overlay actions.
raycast-project	Raycast Project Management category	https://www.raycast.com/store/category/project-management	Project-management extensions include tools like Airtable, Sentry, and GitHub repository search.	A project/work queue block can start with local CLIs and fixtures before OAuth integrations.
raycast-dev	Raycast Developer Tools category	https://www.raycast.com/store/category/developer-tools	Developer-oriented extensions cluster around GitHub, Linear, repo search, build tools, and command shortcuts.	A GitHub/PR/build block is likely high leverage for this repo's user base.
xbar-github	xbar GitHub repository	https://github.com/matryer/xbar	xbar's core idea is putting script/program output into the macOS menu bar.	Surface can support a script-output block without copying xbar's registry model.
xbar-pr	xbar GitHub PR buddy plugin	https://xbarapp.com/docs/plugins/Dev/GitHub/github-pr-buddy.30m.py.html	A menu-bar plugin displays relevant GitHub pull requests.	A PR/review queue block is a concrete first developer plugin.
swiftbar-github	SwiftBar GitHub repository	https://github.com/swiftbar/SwiftBar	SwiftBar plugins are custom menu bar programs; the repo highlights a three-step script model and built-in plugin discovery.	Surface could add a controlled script runner block later, but only as a BlockRuntime.
swiftbar-ameba	SwiftBar product page	https://ameba.co/swiftbar/	SwiftBar runs scripts on schedules and renders output with icons/colors/dropdowns.	Surface plugin fixtures should model scheduled text output and action rows.
hammerspoon-main	Hammerspoon	https://www.hammerspoon.org/	Hammerspoon bridges macOS system APIs into Lua automation via extensions.	Surface plugins can target app/window/system automation but need explicit permission states.
hammerspoon-spoons	Hammerspoon Spoons	https://www.hammerspoon.org/Spoons/	Spoons include app launchers, app-window switchers, and desktop arrangers.	Window/app control blocks are validated by existing macOS automation usage.
ubersicht-overview	Ubersicht MacUpdate overview	https://ubersicht.macupdate.com/	Ubersicht runs system commands and displays output in HTML5 widgets on the desktop.	Surface can borrow the command-output/widget idea while keeping native SwiftUI blocks.
ubersicht-widgets	Ubersicht widget gallery	https://tracesof.net/uebersicht-widgets/	Widget examples include clocks, uptime, and lightweight desktop status.	Small always-visible status blocks are legitimate, but should be actionable in Surface.
